Wavelength (micron),Transit Depth (%): best fit equilibrium,Transit Depth (%): CH4 upper limit,Transit Depth (%): no clouds,Transit Depth (%): no CO2,Transit Depth (%): no H2O,Transit Depth (%): no H2S,Transit Depth (%): cloudy solar
4.042019996,2.076293615,2.081141158,1.975622821,2.076128622,2.092586915,2.06328367,2.075424555
4.055515889,2.081465862,2.084288094,1.98731939,2.081091091,2.091294009,2.069720197,2.079112383
4.069056843,2.080741078,2.083712221,1.985997485,2.080283879,2.09242403,2.068744167,2.079610626
4.08264301,2.086520607,2.087565577,1.999083909,2.086265748,2.093617312,2.076998986,2.085566857
4.096274539,2.082606882,2.084178947,1.990069378,2.082034855,2.090860049,2.072492936,2.080901969
4.109951582,2.083283019,2.084980123,1.991721708,2.083111494,2.092977646,2.07261882,2.081975759
4.123674292,2.087650894,2.08737029,2.001817832,2.087345587,2.093098317,2.077293017,2.085661926
4.137442821,2.086046888,2.0861409,1.99777903,2.085807659,2.090621604,2.076939467,2.085607828
4.151257321,2.089646335,2.089992076,2.005710307,2.089423442,2.092017958,2.080332073,2.084968917
4.165117946,2.090716712,2.089776609,2.009023831,2.089696481,2.092715801,2.084498564,2.085886371
4.179024851,2.103197168,2.100830651,2.034276065,2.090181384,2.110617912,2.100049051,2.097576634
4.192978189,2.106997601,2.104529949,2.042778739,2.087250884,2.124669188,2.104681927,2.099257805
4.206978117,2.117877779,2.114380503,2.065902184,2.089303993,2.137248005,2.118042012,2.10835599
4.221024788,2.136892002,2.132897805,2.10303595,2.091575312,2.160894148,2.137716758,2.123959136
4.23511836,2.14484532,2.140714271,2.119101428,2.088419372,2.175593478,2.146206663,2.133215369
4.249258989,2.155715804,2.151172285,2.139925543,2.096576343,2.183608756,2.158168561,2.14540396
4.263446832,2.169603295,2.165036958,2.165586686,2.092961708,2.20188655,2.172322401,2.143829743
4.277682047,2.174262819,2.169588723,2.174973695,2.096622907,2.206652902,2.176948407,2.160297535
4.291964792,2.179019982,2.174265543,2.184733465,2.094636317,2.213305304,2.181828152,2.158560828
4.306295225,2.185485683,2.18070109,2.196576726,2.095512381,2.220659005,2.188667872,2.155676289
4.320673506,2.186877953,2.182087079,2.199062017,2.09176447,2.223917928,2.190104997,2.16113935
4.335099795,2.187677756,2.182874768,2.201070224,2.096096261,2.223315044,2.190913118,2.161664256
4.349574252,2.187986079,2.183187926,2.202410044,2.097452473,2.224326183,2.191241683,2.161984013
4.364097037,2.189427905,2.184617712,2.204481797,2.096300601,2.226664501,2.192645295,2.164044047
4.378668313,2.190827788,2.186012149,2.20705684,2.097816404,2.227543659,2.194124829,2.161527699
4.39328824,2.188123764,2.183318132,2.202080664,2.100004285,2.22334269,2.191298796,2.159832726
4.407956982,2.187886394,2.18307837,2.202352634,2.099926422,2.225686109,2.191123818,2.15703965
4.422674702,2.185429288,2.1806317,2.1981149,2.105025789,2.222406532,2.188636179,2.155160912
4.437441562,2.178829016,2.174061171,2.186744344,2.106624145,2.214248548,2.181932902,2.151696992
4.452257728,2.177280982,2.172511011,2.184516367,2.107998245,2.212060598,2.180372176,2.149836767
4.467123363,2.172548049,2.167793554,2.175868764,2.109245102,2.2060959,2.175489438,2.148990756
4.482038633,2.164514463,2.159807946,2.161654641,2.102567217,2.200227166,2.167492967,2.140673985
4.497003704,2.164657803,2.159931189,2.162582246,2.11278682,2.197197853,2.167728895,2.143036828
